[2014-07-02 01:01:42] EDIT tcc/models/menu.py: 4
[2014-07-02 01:01:51] EDIT tcc/models/menu.py: 0
[2014-07-02 01:03:57] EDIT tcc/models/menu.py: 0
[2014-07-02 01:30:02] EDIT tcc/models/menu.py: 0
[2014-07-02 01:31:49] EDIT tcc/models/menu.py: 0
[2014-07-02 20:43:41] EDIT tcc/controllers/default.py: 2
[2014-07-02 20:44:26] EDIT tcc/controllers/default.py: 1
[2014-07-02 21:23:29] EDIT tcc/controllers/default.py: 4
[2014-07-02 21:23:38] EDIT tcc/controllers/default.py: 0
[2014-07-02 21:24:08] EDIT tcc/controllers/default.py: 0
[2014-07-02 21:25:33] EDIT tcc/views/default/add_simulation_from_benchmark.html: 1
[2014-07-02 21:25:57] EDIT tcc/views/default/add_simulation_from_benchmark.html: 0
[2014-07-02 21:37:06] EDIT tcc/controllers/default.py: 3
[2014-07-02 21:40:24] EDIT tcc/controllers/default.py: 2
[2014-07-02 21:43:38] EDIT tcc/controllers/default.py: 5
[2014-07-02 21:44:19] EDIT tcc/controllers/default.py: -3
[2014-07-02 21:46:15] EDIT tcc/controllers/default.py: 0
[2014-07-02 21:46:29] EDIT tcc/controllers/default.py: 0
[2014-07-02 21:46:47] EDIT tcc/controllers/default.py: 1
[2014-07-02 21:47:24] EDIT tcc/controllers/default.py: -1
[2014-07-02 21:47:26] EDIT tcc/controllers/default.py: 0
[2014-07-02 21:47:26] EDIT tcc/controllers/default.py: 0
[2014-07-02 21:47:27] EDIT tcc/controllers/default.py: 0
[2014-07-02 21:47:29] EDIT tcc/controllers/default.py: 0
[2014-07-02 21:49:55] EDIT tcc/controllers/default.py: 2
[2014-07-02 21:51:57] EDIT tcc/controllers/default.py: 2
[2014-07-02 21:52:16] EDIT tcc/controllers/default.py: 0
[2014-07-02 21:52:22] EDIT tcc/controllers/default.py: 0
[2014-07-02 21:52:37] EDIT tcc/controllers/default.py: 0
[2014-07-02 21:54:49] EDIT tcc/controllers/default.py: 2
